theTime,dbname,statement
12/9/2022 7:06:39 PM,BestDR15,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName='specphotoall' order by [indexMapId]  "
12/9/2022 7:06:39 PM,BestDR15,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName='sdsstileall' order by [indexMapId]  "
12/9/2022 7:06:39 PM,BestDR15,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName='sdsstiledtargetall' order by [indexMapId]  "
12/9/2022 7:06:39 PM,BestDR15,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName='sdsstilinggeometry' order by [indexMapId]  "
12/9/2022 7:06:39 PM,BestDR15,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName='galspecextra' order by [indexMapId]  "
12/9/2022 7:06:39 PM,BestDR15,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName='galspeciindx' order by [indexMapId]  "
12/9/2022 7:06:39 PM,BestDR15,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName='galspecinfo' order by [indexMapId]  "
12/9/2022 7:06:39 PM,BestDR15,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName='galspecline' order by [indexMapId]  "
12/9/2022 7:06:39 PM,BestDR15,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName='sppLines' order by [indexMapId]  "
12/9/2022 7:06:39 PM,BestDR15,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName='sppParams' order by [indexMapId]  "
12/9/2022 7:06:39 PM,BestDR15,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName='WISE_allsky' order by [indexMapId]  "
12/9/2022 7:06:39 PM,BestDR15,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName='WISE_xmatch' order by [indexMapId]  "
12/9/2022 7:06:39 PM,BestDR15,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName='wiseForcedTarget' order by [indexMapId]  "
12/9/2022 7:06:39 PM,BestDR15,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName='photoobjall' order by [indexMapId]  "
12/9/2022 7:06:39 PM,BestDR15,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName='phototag' order by [indexMapId]  "
12/9/2022 7:06:39 PM,BestDR15,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName='field' order by [indexMapId]  "
12/9/2022 7:06:39 PM,BestDR15,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName='photoprofile' order by [indexMapId]  "
12/9/2022 7:06:39 PM,BestDR15,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName='fieldprofile' order by [indexMapId]  "
12/9/2022 7:06:39 PM,BestDR15,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName='neighbors' order by [indexMapId]  "
12/9/2022 7:06:39 PM,BestDR15,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName='platex' order by [indexMapId]  "
12/9/2022 7:06:39 PM,BestDR15,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName='specobjall' order by [indexMapId]  "
12/9/2022 7:06:39 PM,BestDR15,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName='specphotoall' order by [indexMapId]  "
12/9/2022 7:06:39 PM,BestDR15,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName='sdsstileall' order by [indexMapId]  "
12/9/2022 7:06:39 PM,BestDR15,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName='sdsstiledtargetall' order by [indexMapId]  "
12/9/2022 7:06:39 PM,BestDR15,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName='sdsstilinggeometry' order by [indexMapId]  "
12/9/2022 7:06:39 PM,BestDR15,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName='galspecextra' order by [indexMapId]  "
12/9/2022 7:06:39 PM,BestDR15,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName='galspeciindx' order by [indexMapId]  "
12/9/2022 7:06:39 PM,BestDR15,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName='galspecinfo' order by [indexMapId]  "
12/9/2022 7:06:39 PM,BestDR15,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName='galspecline' order by [indexMapId]  "
12/9/2022 7:06:39 PM,BestDR15,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName='sppLines' order by [indexMapId]  "
12/9/2022 7:06:39 PM,BestDR15,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName='sppParams' order by [indexMapId]  "
12/9/2022 7:06:39 PM,BestDR15,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName='WISE_allsky' order by [indexMapId]  "
12/9/2022 7:06:39 PM,BestDR15,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName='WISE_xmatch' order by [indexMapId]  "
12/9/2022 7:06:39 PM,BestDR15,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName='wiseForcedTarget' order by [indexMapId]  "
12/9/2022 7:06:39 PM,BestDR15,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName='photoobjall' order by [indexMapId]  "
12/9/2022 7:06:39 PM,BestDR15,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName='phototag' order by [indexMapId]  "
12/9/2022 7:06:39 PM,BestDR15,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName='field' order by [indexMapId]  "
12/9/2022 7:06:39 PM,BestDR15,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName='photoprofile' order by [indexMapId]  "
12/9/2022 7:06:39 PM,BestDR15,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName='fieldprofile' order by [indexMapId]  "
12/9/2022 7:06:39 PM,BestDR15,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName='neighbors' order by [indexMapId]  "
12/9/2022 7:06:39 PM,BestDR15,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName='platex' order by [indexMapId]  "
12/9/2022 7:06:39 PM,BestDR15,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName='specobjall' order by [indexMapId]  "
12/9/2022 7:06:35 PM,BestDR15,"SELECT TOP 10 p.objid,
 p.run, p.rerun, p.camcol, p.field, p.obj,
 p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,
 p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z
 FROM fGetNearbyObjEq(258.25,64.05,3) n, PhotoPrimary p
 WHERE n.objID=p.objID "
